symptoms,disease
"Mouth feels sticky, Hard to remove plaque despite brushing, Rough feeling teeth, Yellow tartar on teeth, Gum inflammation near plaque, Noticeable plaque deposits",Calculus
"Gums bleed when brushing, Gum irritation near teeth, Plaque buildup on teeth, Teeth appear dull or yellow, Bad breath that won't go away",Calculus
Bad breath that won't go away,Calculus
"Plaque buildup on teeth, Teeth appear dull or yellow, Bad breath that won't go away, Teeth feel gritty, Gum irritation near teeth, Gums bleed when brushing",Calculus
Teeth feel rough,Calculus
Teeth appear dull or yellow,Calculus
Teeth feel gritty,Calculus
"Persistent bad taste in mouth, Crusty deposits at gumline, Teeth feel rough, Swollen red gums",Calculus
"Bad breath that won't go away, Gum irritation near teeth, Plaque buildup on teeth, Gums bleed when brushing, Teeth feel gritty",Calculus
"Mouth feels sticky, Yellow tartar on teeth, Gum inflammation near plaque",Calculus
"Yellow tartar on teeth, Gum inflammation near plaque, Rough feeling teeth",Calculus
"Swollen red gums, Teeth feel rough, Gums bleed when flossing, Crusty deposits at gumline, Hard yellowish deposits on teeth",Calculus
"Plaque buildup on teeth, Teeth appear dull or yellow",Calculus
"Noticeable plaque deposits, Mouth feels sticky, Yellow tartar on teeth",Calculus
Mouth feels sticky,Calculus
"Persistent bad taste in mouth, Swollen red gums, Gums bleed when flossing, Crusty deposits at gumline",Calculus
"Yellow tartar on teeth, Rough feeling teeth, Noticeable plaque deposits, Gum inflammation near plaque",Calculus
"Persistent bad taste in mouth, Hard yellowish deposits on teeth",Calculus
Teeth appear dull or yellow,Calculus
"Mouth feels sticky, Hard to remove plaque despite brushing",Calculus
"Gum inflammation near plaque, Noticeable plaque deposits",Calculus
"Teeth appear dull or yellow, Bad breath that won't go away, Teeth feel gritty, Gum irritation near teeth, Plaque buildup on teeth",Calculus
"Rough feeling teeth, Hard to remove plaque despite brushing, Noticeable plaque deposits, Yellow tartar on teeth, Gum inflammation near plaque, Mouth feels sticky",Calculus
"Bad breath that won't go away, Teeth feel gritty, Gum irritation near teeth, Teeth appear dull or yellow, Plaque buildup on teeth, Gums bleed when brushing",Calculus
"Gum irritation near teeth, Teeth feel gritty",Calculus
Gum inflammation near plaque,Calculus
Hard to remove plaque despite brushing,Calculus
"Swollen red gums, Hard yellowish deposits on teeth, Persistent bad taste in mouth, Crusty deposits at gumline",Calculus
"Gums bleed when brushing, Bad breath that won't go away, Teeth appear dull or yellow, Gum irritation near teeth, Teeth feel gritty",Calculus
"Noticeable plaque deposits, Mouth feels sticky, Yellow tartar on teeth, Gum inflammation near plaque, Rough feeling teeth, Hard to remove plaque despite brushing",Calculus
"Gums bleed when flossing, Persistent bad taste in mouth, Crusty deposits at gumline",Calculus
"Bad breath that won't go away, Teeth feel gritty, Plaque buildup on teeth, Gum irritation near teeth, Teeth appear dull or yellow",Calculus
"Yellow tartar on teeth, Noticeable plaque deposits, Mouth feels sticky",Calculus
Tooth pain when chewing,Caries
"Food gets stuck in tooth, Visible hole in molar, Bad breath despite oral hygiene",Caries
"Cavity causing discomfort, Bad taste in mouth from decayed tooth, Tooth feels sensitive to touch",Caries
"Persistent cavity in molar, Sharp pain in tooth with cold food, Tooth feels sensitive to touch, Hole in tooth causing pain",Caries
"Difficulty chewing on affected tooth, Hole in tooth causing pain",Caries
"Bad breath despite oral hygiene, Sensitive to pressure in tooth",Caries
"Difficulty chewing on affected tooth, Persistent cavity in molar, Tooth feels sensitive to touch, Tooth pain when chewing",Caries
"Cavity causing discomfort, Sharp ache in tooth when eating sweet foods, Toothache when eating hot or cold, Pain in molar while chewing",Caries
Persistent cavity in molar,Caries
Hole in tooth causing pain,Caries
"Tooth feels sensitive to touch, Pain in molar while chewing, Toothache when eating hot or cold, Bad taste in mouth from decayed tooth, Cavity causing discomfort",Caries
"Sensitive to pressure in tooth, Food gets stuck in tooth, Visible hole in molar, Bad breath despite oral hygiene, Sharp pain in tooth when eating sweets",Caries
"Sharp pain in tooth when eating sweets, Food gets stuck in tooth, Visible hole in molar, Sensitive to pressure in tooth, Bad breath despite oral hygiene",Caries
"Visible hole in molar, Sharp pain in tooth when eating sweets, Bad breath despite oral hygiene, Sensitive to pressure in tooth",Caries
"Food gets stuck in tooth, Bad breath despite oral hygiene, Visible hole in molar, Sharp pain in tooth when eating sweets, Sensitive to pressure in tooth",Caries
"Difficulty chewing on affected tooth, Hole in tooth causing pain, Sharp pain in tooth with cold food, Tooth feels sensitive to touch",Caries
Cavity causing discomfort,Caries
"Sharp pain in tooth with cold food, Difficulty chewing on affected tooth, Tooth pain when chewing, Hole in tooth causing pain, Tooth feels sensitive to touch",Caries
"Tooth pain when chewing, Sharp pain in tooth with cold food, Hole in tooth causing pain, Persistent cavity in molar, Difficulty chewing on affected tooth, Tooth feels sensitive to touch",Caries
Sharp ache in tooth when eating sweet foods,Caries
"Visible hole in molar, Sensitive to pressure in tooth, Bad breath despite oral hygiene, Sharp pain in tooth when eating sweets",Caries
"Tooth feels sensitive to touch, Cavity causing discomfort, Sharp ache in tooth when eating sweet foods, Pain in molar while chewing",Caries
"Sensitive to pressure in tooth, Sharp pain in tooth when eating sweets, Visible hole in molar, Food gets stuck in tooth",Caries
"Bad taste in mouth from decayed tooth, Tooth feels sensitive to touch",Caries
"Pain in molar while chewing, Tooth feels sensitive to touch, Sharp ache in tooth when eating sweet foods, Cavity causing discomfort, Toothache when eating hot or cold",Caries
"Toothache when eating hot or cold, Pain in molar while chewing, Tooth feels sensitive to touch, Bad taste in mouth from decayed tooth, Sharp ache in tooth when eating sweet foods, Cavity causing discomfort",Caries
"Sharp ache in tooth when eating sweet foods, Bad taste in mouth from decayed tooth",Caries
Toothache when eating hot or cold,Caries
"Sensitive to pressure in tooth, Visible hole in molar, Bad breath despite oral hygiene, Sharp pain in tooth when eating sweets, Food gets stuck in tooth",Caries
"Bad breath despite oral hygiene, Visible hole in molar",Caries
"Bad breath despite oral hygiene, Sharp pain in tooth when eating sweets, Visible hole in molar, Food gets stuck in tooth",Caries
"Sensitive to pressure in tooth, Food gets stuck in tooth, Sharp pain in tooth when eating sweets, Bad breath despite oral hygiene",Caries
Difficulty chewing on affected tooth,Caries
"Sharp pain in tooth when eating sweets, Visible hole in molar, Bad breath despite oral hygiene, Food gets stuck in tooth",Caries
"Visible hole in molar, Bad breath despite oral hygiene, Sharp pain in tooth when eating sweets",Caries
"Tooth feels sensitive to touch, Toothache when eating hot or cold",Caries
"Tooth feels sensitive to touch, Hole in tooth causing pain, Sharp pain in tooth with cold food, Persistent cavity in molar",Caries
"Sensitive to pressure in tooth, Bad breath despite oral hygiene, Sharp pain in tooth when eating sweets",Caries
"Sensitive to pressure in tooth, Visible hole in molar, Sharp pain in tooth when eating sweets",Caries
"Sharp pain in tooth when eating sweets, Visible hole in molar",Caries
Tooth feels sensitive to touch,Caries
"Difficulty chewing on affected tooth, Hole in tooth causing pain, Tooth feels sensitive to touch, Persistent cavity in molar",Caries
"Tooth pain when chewing, Hole in tooth causing pain, Sharp pain in tooth with cold food",Caries
"Sharp pain in tooth when eating sweets, Food gets stuck in tooth, Sensitive to pressure in tooth, Visible hole in molar, Bad breath despite oral hygiene",Caries
"Food gets stuck in tooth, Sharp pain in tooth when eating sweets, Bad breath despite oral hygiene, Visible hole in molar, Sensitive to pressure in tooth",Caries
"Sharp pain in tooth with cold food, Hole in tooth causing pain",Caries
Toothache when eating hot or cold,Caries
"Sharp ache in tooth when eating sweet foods, Bad taste in mouth from decayed tooth, Toothache when eating hot or cold, Pain in molar while chewing, Cavity causing discomfort, Tooth feels sensitive to touch",Caries
"Tooth pain when chewing, Tooth feels sensitive to touch, Persistent cavity in molar, Sharp pain in tooth with cold food",Caries
"Tooth feels sensitive to touch, Toothache when eating hot or cold, Pain in molar while chewing, Sharp ache in tooth when eating sweet foods, Bad taste in mouth from decayed tooth, Cavity causing discomfort",Caries
"Sharp pain in tooth with cold food, Tooth pain when chewing, Hole in tooth causing pain",Caries
"Pain in molar while chewing, Bad taste in mouth from decayed tooth, Sharp ache in tooth when eating sweet foods, Toothache when eating hot or cold, Tooth feels sensitive to touch",Caries
"Tooth pain when chewing, Persistent cavity in molar, Difficulty chewing on affected tooth, Hole in tooth causing pain",Caries
"Visible hole in molar, Sensitive to pressure in tooth, Food gets stuck in tooth, Sharp pain in tooth when eating sweets, Bad breath despite oral hygiene",Caries
Tooth feels sensitive to touch,Caries
"Difficulty chewing on affected tooth, Persistent cavity in molar, Tooth pain when chewing, Hole in tooth causing pain, Tooth feels sensitive to touch, Sharp pain in tooth with cold food",Caries
"Food gets stuck in tooth, Sharp pain in tooth when eating sweets, Sensitive to pressure in tooth, Bad breath despite oral hygiene",Caries
"Food gets stuck in tooth, Sharp pain in tooth when eating sweets, Sensitive to pressure in tooth",Caries
"Sharp pain in tooth when eating sweets, Food gets stuck in tooth",Caries
"Tooth pain when chewing, Difficulty chewing on affected tooth",Caries
"Toothache when eating hot or cold, Cavity causing discomfort, Bad taste in mouth from decayed tooth",Caries
"Visible hole in molar, Sensitive to pressure in tooth",Caries
"Food gets stuck in tooth, Visible hole in molar, Bad breath despite oral hygiene, Sharp pain in tooth when eating sweets",Caries
"Sharp pain in tooth when eating sweets, Bad breath despite oral hygiene, Food gets stuck in tooth",Caries
"Tooth feels sensitive to touch, Sharp pain in tooth with cold food",Caries
"Bad breath despite oral hygiene, Visible hole in molar, Sharp pain in tooth when eating sweets, Food gets stuck in tooth, Sensitive to pressure in tooth",Caries
"Tooth feels sensitive to touch, Persistent cavity in molar",Caries
Toothache when eating hot or cold,Caries
Food gets stuck in tooth,Caries
"Persistent cavity in molar, Sharp pain in tooth with cold food, Difficulty chewing on affected tooth, Tooth pain when chewing, Tooth feels sensitive to touch, Hole in tooth causing pain",Caries
"Cavity causing discomfort, Bad taste in mouth from decayed tooth",Caries
"Sensitive to pressure in tooth, Sharp pain in tooth when eating sweets, Visible hole in molar, Food gets stuck in tooth, Bad breath despite oral hygiene",Caries
"Toothache when eating hot or cold, Tooth feels sensitive to touch",Caries
"Sharp ache in tooth when eating sweet foods, Pain in molar while chewing, Bad taste in mouth from decayed tooth, Tooth feels sensitive to touch, Toothache when eating hot or cold, Cavity causing discomfort",Caries
"Tooth feels sensitive to touch, Sharp pain in tooth with cold food, Tooth pain when chewing, Persistent cavity in molar, Difficulty chewing on affected tooth",Caries
"Persistent cavity in molar, Tooth feels sensitive to touch, Tooth pain when chewing, Hole in tooth causing pain",Caries
"Toothache when eating hot or cold, Tooth feels sensitive to touch, Bad taste in mouth from decayed tooth, Pain in molar while chewing, Sharp ache in tooth when eating sweet foods",Caries
"Difficulty chewing on affected tooth, Tooth pain when chewing, Tooth feels sensitive to touch, Sharp pain in tooth with cold food, Persistent cavity in molar, Hole in tooth causing pain",Caries
"Food gets stuck in tooth, Visible hole in molar, Sensitive to pressure in tooth, Bad breath despite oral hygiene, Sharp pain in tooth when eating sweets",Caries
"Persistent cavity in molar, Tooth feels sensitive to touch, Hole in tooth causing pain, Tooth pain when chewing, Sharp pain in tooth with cold food",Caries
"Tooth feels sensitive to touch, Toothache when eating hot or cold, Bad taste in mouth from decayed tooth, Cavity causing discomfort, Pain in molar while chewing",Caries
"Sensitive to pressure in tooth, Bad breath despite oral hygiene, Visible hole in molar",Caries
"Sensitive to pressure in tooth, Sharp pain in tooth when eating sweets, Food gets stuck in tooth",Caries
"Persistent cavity in molar, Sharp pain in tooth with cold food, Difficulty chewing on affected tooth, Tooth pain when chewing, Hole in tooth causing pain",Caries
"Sharp pain in tooth with cold food, Tooth pain when chewing, Hole in tooth causing pain, Difficulty chewing on affected tooth, Tooth feels sensitive to touch",Caries
"Visible hole in molar, Food gets stuck in tooth, Bad breath despite oral hygiene, Sensitive to pressure in tooth, Sharp pain in tooth when eating sweets",Caries
"Tooth feels sensitive to touch, Bad taste in mouth from decayed tooth, Toothache when eating hot or cold, Sharp ache in tooth when eating sweet foods",Caries
"Visible hole in molar, Food gets stuck in tooth, Sharp pain in tooth when eating sweets",Caries
"Food gets stuck in tooth, Visible hole in molar, Sensitive to pressure in tooth",Caries
Difficulty chewing on affected tooth,Caries
"Sharp pain in tooth with cold food, Tooth pain when chewing, Tooth feels sensitive to touch, Persistent cavity in molar",Caries
Sharp ache in tooth when eating sweet foods,Caries
"Hole in tooth causing pain, Difficulty chewing on affected tooth, Tooth pain when chewing, Tooth feels sensitive to touch",Caries
"Tooth feels sensitive to touch, Toothache when eating hot or cold",Caries
Pain in molar while chewing,Caries
"Sharp pain in tooth with cold food, Tooth feels sensitive to touch, Tooth pain when chewing, Hole in tooth causing pain",Caries
"Sensitive to pressure in tooth, Bad breath despite oral hygiene, Visible hole in molar",Caries
"Visible hole in molar, Sensitive to pressure in tooth, Sharp pain in tooth when eating sweets",Caries
"Bad taste in mouth from decayed tooth, Cavity causing discomfort",Caries
"Tooth feels sensitive to touch, Bad taste in mouth from decayed tooth, Sharp ache in tooth when eating sweet foods, Pain in molar while chewing",Caries
"Sensitive to pressure in tooth, Sharp pain in tooth when eating sweets",Caries
"Sharp pain in tooth when eating sweets, Sensitive to pressure in tooth",Caries
"Sensitive to pressure in tooth, Bad breath despite oral hygiene, Visible hole in molar, Food gets stuck in tooth",Caries
"Tooth pain when chewing, Hole in tooth causing pain, Tooth feels sensitive to touch",Caries
"Toothache when eating hot or cold, Sharp ache in tooth when eating sweet foods, Pain in molar while chewing",Caries
"Sharp pain in tooth when eating sweets, Visible hole in molar, Bad breath despite oral hygiene, Food gets stuck in tooth",Caries
"Tooth feels sensitive to touch, Cavity causing discomfort, Bad taste in mouth from decayed tooth, Pain in molar while chewing",Caries
"Sharp ache in tooth when eating sweet foods, Bad taste in mouth from decayed tooth, Toothache when eating hot or cold, Pain in molar while chewing",Caries
"Sensitive to pressure in tooth, Visible hole in molar, Bad breath despite oral hygiene, Sharp pain in tooth when eating sweets",Caries
"Tooth feels sensitive to touch, Sharp pain in tooth with cold food, Tooth pain when chewing, Difficulty chewing on affected tooth, Persistent cavity in molar",Caries
"Tooth feels sensitive to touch, Difficulty chewing on affected tooth, Persistent cavity in molar, Hole in tooth causing pain, Sharp pain in tooth with cold food",Caries
"Tooth feels sensitive to touch, Cavity causing discomfort, Bad taste in mouth from decayed tooth, Sharp ache in tooth when eating sweet foods, Toothache when eating hot or cold, Pain in molar while chewing",Caries
"Tooth pain when chewing, Sharp pain in tooth with cold food, Hole in tooth causing pain, Persistent cavity in molar, Difficulty chewing on affected tooth, Tooth feels sensitive to touch",Caries
Toothache when eating hot or cold,Caries
"Sharp pain in tooth when eating sweets, Sensitive to pressure in tooth, Visible hole in molar, Bad breath despite oral hygiene, Food gets stuck in tooth",Caries
"Cavity causing discomfort, Tooth feels sensitive to touch, Bad taste in mouth from decayed tooth",Caries
"Difficulty chewing on affected tooth, Hole in tooth causing pain, Persistent cavity in molar, Tooth pain when chewing",Caries
"Sharp ache in tooth when eating sweet foods, Pain in molar while chewing",Caries
"Persistent cavity in molar, Sharp pain in tooth with cold food, Hole in tooth causing pain, Tooth pain when chewing",Caries
"Hole in tooth causing pain, Tooth feels sensitive to touch, Difficulty chewing on affected tooth",Caries
"Persistent cavity in molar, Hole in tooth causing pain, Tooth feels sensitive to touch",Caries
Sharp pain in tooth when eating sweets,Caries
"Tooth pain when chewing, Persistent cavity in molar, Sharp pain in tooth with cold food, Hole in tooth causing pain",Caries
"Sharp pain in tooth with cold food, Hole in tooth causing pain, Tooth pain when chewing, Tooth feels sensitive to touch, Difficulty chewing on affected tooth",Caries
"Sharp pain in tooth when eating sweets, Visible hole in molar, Sensitive to pressure in tooth, Food gets stuck in tooth, Bad breath despite oral hygiene",Caries
"Persistent cavity in molar, Sharp pain in tooth with cold food, Hole in tooth causing pain",Caries
"Bad taste in mouth from decayed tooth, Cavity causing discomfort, Pain in molar while chewing, Tooth feels sensitive to touch, Sharp ache in tooth when eating sweet foods",Caries
Tooth feels sensitive to touch,Caries
"Sensitive to pressure in tooth, Bad breath despite oral hygiene, Food gets stuck in tooth, Sharp pain in tooth when eating sweets",Caries
"Tooth pain when chewing, Difficulty chewing on affected tooth, Sharp pain in tooth with cold food, Hole in tooth causing pain, Persistent cavity in molar, Tooth feels sensitive to touch",Caries
"Cavity causing discomfort, Bad taste in mouth from decayed tooth, Sharp ache in tooth when eating sweet foods, Tooth feels sensitive to touch, Pain in molar while chewing, Toothache when eating hot or cold",Caries
"Cavity causing discomfort, Bad taste in mouth from decayed tooth, Pain in molar while chewing, Toothache when eating hot or cold, Sharp ache in tooth when eating sweet foods",Caries
